"company","year","sales"
"3S","실적2017",315
"3S","실적2018",358
"3S","실적2019",226
"3S","실적2020",NA
"AJ네트웍스","실적2017",8439
"AJ네트웍스","실적2018",10455
"AJ네트웍스","실적2019",12028
"AJ네트웍스","실적2020",NA
"AK홀딩스","실적2017",33925
"AK홀딩스","실적2018",37112
"AK홀딩스","실적2019",37595
"AK홀딩스","실적2020",NA
"APS홀딩스","실적2017",805
"APS홀딩스","실적2018",284
"APS홀딩스","실적2019",232
"APS홀딩스","실적2020",NA
"AP시스템","실적2017",9624
"AP시스템","실적2018",7142
"AP시스템","실적2019",4621
"AP시스템","실적2020",5704
"AP위성","실적2017",300
"AP위성","실적2018",428
"AP위성","실적2019",457
"AP위성","실적2020",478
"BGF","실적2017",1243
"BGF","실적2018",2206
"BGF","실적2019",2403
"BGF","실적2020",1740
"BGF리테일","실적2017",9387
"BGF리테일","실적2018",57759
"BGF리테일","실적2019",59461
"BGF리테일","실적2020",61850
"BNK금융지주","실적2017",48098
"BNK금융지주","실적2018",50986
"BNK금융지주","실적2019",52795
"BNK금융지주","실적2020",NA
"BYC","실적2017",1958
"BYC","실적2018",1979
"BYC","실적2019",1706
"BYC","실적2020",NA
"CJ","실적2017",268986
"CJ","실적2018",295234
"CJ","실적2019",337797
"CJ","실적2020",329599
"CJ CGV","실적2017",17144
"CJ CGV","실적2018",17694
"CJ CGV","실적2019",19423
"CJ CGV","실적2020",6932
"CJ ENM","실적2017",22600
"CJ ENM","실적2018",23604
"CJ ENM","실적2019",37897
"CJ ENM","실적2020",34151
"CJ대한통운","실적2017",71104
"CJ대한통운","실적2018",92197
"CJ대한통운","실적2019",104151
"CJ대한통운","실적2020",109508
"CJ씨푸드","실적2017",1646
"CJ씨푸드","실적2018",1507
"CJ씨푸드","실적2019",1492
"CJ씨푸드","실적2020",NA
"CJ제일제당","실적2017",164772
"CJ제일제당","실적2018",186701
"CJ제일제당","실적2019",223525
"CJ제일제당","실적2020",244203
"CJ프레시웨이","실적2017",25044
"CJ프레시웨이","실적2018",28281
"CJ프레시웨이","실적2019",30551
"CJ프레시웨이","실적2020",26061
"CMG제약","실적2017",415
"CMG제약","실적2018",499
"CMG제약","실적2019",586
"CMG제약","실적2020",NA
"CNH","실적2017",557
