"company","year","debt"
"3S","실적2017",61
"3S","실적2018",55
"3S","실적2019",48
"3S","실적2020",NA
"AJ네트웍스","실적2017",426
"AJ네트웍스","실적2018",423
"AJ네트웍스","실적2019",419
"AJ네트웍스","실적2020",NA
"AK홀딩스","실적2017",155
"AK홀딩스","실적2018",130
"AK홀딩스","실적2019",202
"AK홀딩스","실적2020",NA
"APS홀딩스","실적2017",26
"APS홀딩스","실적2018",20
"APS홀딩스","실적2019",38
"APS홀딩스","실적2020",NA
"AP시스템","실적2017",423
"AP시스템","실적2018",295
"AP시스템","실적2019",268
"AP시스템","실적2020",NA
"AP위성","실적2017",26
"AP위성","실적2018",22
"AP위성","실적2019",24
"AP위성","실적2020",NA
"BGF","실적2017",18
"BGF","실적2018",6
"BGF","실적2019",8
"BGF","실적2020",NA
"BGF리테일","실적2017",228
"BGF리테일","실적2018",184
"BGF리테일","실적2019",248
"BGF리테일","실적2020",NA
"BNK금융지주","실적2017",1132
"BNK금융지주","실적2018",1072
"BNK금융지주","실적2019",1038
"BNK금융지주","실적2020",NA
"BYC","실적2017",86
"BYC","실적2018",81
"BYC","실적2019",59
"BYC","실적2020",NA
"CJ","실적2017",144
"CJ","실적2018",153
"CJ","실적2019",176
"CJ","실적2020",NA
"CJ CGV","실적2017",216
"CJ CGV","실적2018",306
"CJ CGV","실적2019",652
"CJ CGV","실적2020",NA
"CJ ENM","실적2017",88
"CJ ENM","실적2018",97
"CJ ENM","실적2019",72
"CJ ENM","실적2020",NA
"CJ대한통운","실적2017",127
"CJ대한통운","실적2018",151
"CJ대한통운","실적2019",149
"CJ대한통운","실적2020",NA
"CJ씨푸드","실적2017",100
"CJ씨푸드","실적2018",104
"CJ씨푸드","실적2019",97
"CJ씨푸드","실적2020",NA
"CJ제일제당","실적2017",174
"CJ제일제당","실적2018",166
"CJ제일제당","실적2019",177
"CJ제일제당","실적2020",NA
"CJ프레시웨이","실적2017",283
"CJ프레시웨이","실적2018",262
"CJ프레시웨이","실적2019",308
"CJ프레시웨이","실적2020",NA
"CMG제약","실적2017",11
"CMG제약","실적2018",10
"CMG제약","실적2019",6
"CMG제약","실적2020",NA
"CNH","실적2017",216
"CNH","실적2018",231
"CNH","실적2019",323
"CNH","실적2020",NA
"CS","실적2017",165
"CS","실적2018",44
"CS","실적2019",24
"CS","실적2020",NA
"CSA 코스믹","실적2017",29
"CSA 코스믹","실적2018",58
"CSA 코스믹","실적2019",101
"CSA 코스믹","실적2020",NA
"CS홀딩스","실적2017",12
"CS홀딩스","실적2018",10
"CS홀딩스","실적2019",9
"CS홀딩스","실적2020",NA
"DB","실적2017",41
"DB","실적2018",109
"DB","실적2019",72
"DB","실적2020",NA
"DB금융스팩7호","실적2017",NA
"DB금융스팩7호","실적2018",NA
"DB금융스팩7호","실적2019",15
"DB금융스팩7호","실적2020",NA
"DB금융투자","실적2017",888
"DB금융투자","실적2018",825
"DB금융투자","실적2019",937
"DB금융투자","실적2020",NA
"DB손해보험","실적2017",900
"DB손해보험","실적2018",862
"DB손해보험","실적2019",807
"DB손해보험","실적2020",NA
"DB하이텍","실적2017",118
"DB하이텍","실적2018",91
"DB하이텍","실적2019",68
"DB하이텍","실적2020",NA
"DGB금융지주","실적2017",1252
"DGB금융지주","실적2018",1183
"DGB금융지주","실적2019",1233
"DGB금융지주","실적2020",NA
"DMS","실적2017",120
"DMS","실적2018",109
"DMS","실적2019",82
"DMS","실적2020",NA
"DRB동일","실적2017",54
"DRB동일","실적2018",59
"DRB동일","실적2019",61
"DRB동일","실적2020",NA
"DSC인베스트먼트","실적2017",66
"DSC인베스트먼트","실적2018",60
"DSC인베스트먼트","실적2019",41
"DSC인베스트먼트","실적2020",NA
"DSR","실적2017",62
"DSR","실적2018",52
"DSR","실적2019",54
"DSR","실적2020",NA
"DSR제강","실적2017",50
"DSR제강","실적2018",50
"DSR제강","실적2019",42
"DSR제강","실적2020",NA
"E1","실적2017",176
"E1","실적2018",170
"E1","실적2019",198
"E1","실적2020",NA
"EDGC","실적2017",27
"EDGC","실적2018",45
"EDGC","실적2019",101
"EDGC","실적2020",NA
"EG","실적2017",88
"EG","실적2018",114
"EG","실적2019",129
"EG","실적2020",NA
"EMW","실적2017",164
"EMW","실적2018",192
"EMW","실적2019",66
"EMW","실적2020",NA
"F&F","실적2017",35
"F&F","실적2018",25
"F&F","실적2019",41
"F&F","실적2020",NA
"GH신소재","실적2017",29
"GH신소재","실적2018",100
"GH신소재","실적2019",87
"GH신소재","실적2020",NA
"GKL","실적2017",37
"GKL","실적2018",36
"GKL","실적2019",55
"GKL","실적2020",NA
"GRT","실적2017",20
"GRT","실적2018",14
"GRT","실적2019",10
"GRT","실적2020",NA
"GS","실적2017",127
"GS","실적2018",115
"GS","실적2019",124
"GS","실적2020",NA
"GST","실적2017",30
"GST","실적2018",22
"GST","실적2019",32
"GST","실적2020",NA
"GS건설","실적2017",322
"GS건설","실적2018",231
"GS건설","실적2019",217
"GS건설","실적2020",NA
"GS글로벌","실적2017",260
"GS글로벌","실적2018",231
"GS글로벌","실적2019",217
"GS글로벌","실적2020",NA
"GS리테일","실적2017",112
"GS리테일","실적2018",107
"GS리테일","실적2019",176
"GS리테일","실적2020",NA
"GS홈쇼핑","실적2017",33
"GS홈쇼핑","실적2018",27
"GS홈쇼핑","실적2019",26
"GS홈쇼핑","실적2020",NA
"GV","실적2017",144
"GV","실적2018",105
"GV","실적2019",231
"GV","실적2020",NA
"HB테크놀러지","실적2017",28
"HB테크놀러지","실적2018",40
"HB테크놀러지","실적2019",54
"HB테크놀러지","실적2020",NA
"HDC","실적2017",120
"HDC","실적2018",61
"HDC","실적2019",78
"HDC","실적2020",NA
"HDC아이콘트롤스","실적2017",40
"HDC아이콘트롤스","실적2018",39
"HDC아이콘트롤스","실적2019",40
"HDC아이콘트롤스","실적2020",NA
